,version,month,day,solar_z,solar_a,view_z,view_a,scattering_angle,azimuthal_angle_difference,visibility,aot550,ground_pressure,ground_altitude,apparent_reflectance,date,DOY
inv_20200622_1030_nadir,1.1,6,22,36,150,0,0,143.36,150.3,8.49,0.5,1013.0,0.0,1.0101225,2020-06-22,174
inv_20200301_1030_nadir,1.1,3,1,67,156,0,0,112.95,156.93,8.49,0.5,1013.0,0.0,0.8649432,2020-03-01,61
inv_20201001_1030_nadir,1.1,10,1,62,162,0,0,117.81,162.28,8.49,0.5,1013.0,0.0,0.902695,2020-10-01,275
inv_20200801_1030_nadir,1.1,8,1,42,151,0,0,137.72,151.28,8.49,0.5,1013.0,0.0,0.9929753,2020-08-01,214
inv_20200501_1030_nadir,1.1,5,1,44,155,0,0,135.81,155.35,8.49,0.5,1013.0,0.0,0.9865624,2020-05-01,122
mk_20200622_1030_nadir,1.1,6,22,33,140,0,0,146.71,140.71,8.49,0.5,1013.0,0.0,1.0207703,2020-06-22,174
mk_20200301_1030_nadir,1.1,3,1,63,152,0,0,116.99,152.18,8.49,0.5,1013.0,0.0,0.8966637,2020-03-01,61
mk_20201001_1030_nadir,1.1,10,1,57,157,0,0,122.21,157.28,8.49,0.5,1013.0,0.0,0.9295911,2020-10-01,275
mk_20200801_1030_nadir,1.1,8,1,38,143,0,0,141.2,143.05,8.49,0.5,1013.0,0.0,1.003852,2020-08-01,214
mk_20200501_1030_nadir,1.1,5,1,40,147,0,0,139.63,147.75,8.49,0.5,1013.0,0.0,0.9986267,2020-05-01,122
