lambda,radiance
0.4,3.033
0.401,
0.402,3.111
0.403,3.111
0.404,3.19
0.405,3.19
0.406,3.19
0.40700000000000003,3.294
0.40800000000000003,3.294
0.40900000000000003,3.399
0.41000000000000003,3.399
0.41100000000000003,3.399
0.41200000000000003,3.524
0.41300000000000003,3.524
0.41400000000000003,3.65
0.41500000000000004,3.65
0.41600000000000004,3.65
0.41700000000000004,3.629
0.41800000000000004,3.629
0.41900000000000004,3.606
0.42000000000000004,3.606
0.42100000000000004,3.606
0.42200000000000004,3.626
0.42300000000000004,3.626
0.42400000000000004,3.646
0.42500000000000004,3.646
0.42600000000000005,3.646
0.42700000000000005,3.479
0.42800000000000005,3.479
0.42900000000000005,3.306
0.43000000000000005,3.306
0.43100000000000005,3.306
0.43200000000000005,3.629
0.43300000000000005,3.629
0.43400000000000005,3.958
0.43500000000000005,3.958
0.43600000000000005,3.958
0.437,4.033
0.438,4.033
0.439,4.109
0.44,4.109
0.441,4.109
0.442,4.311
0.443,4.311
0.444,4.513
0.445,4.513
0.446,4.513
0.447,4.705
0.448,4.705
0.449,4.902
0.45,4.902
0.451,4.902
0.452,4.901
0.453,4.901
0.454,4.896
0.455,4.896
0.456,4.896
0.457,4.946
0.458,4.946
0.459,4.997
0.46,4.997
0.461,4.997
0.462,4.99
0.463,4.99
0.464,5.009
0.465,5.009
0.466,5.009
0.467,5.032
0.468,5.032
0.46900000000000003,5.03
0.47000000000000003,5.03
0.47100000000000003,
0.47200000000000003,5.096
0.47300000000000003,5.096
0.47400000000000003,5.152
0.47500000000000003,5.152
0.47600000000000003,5.152
0.47700000000000004,5.21
0.47800000000000004,5.21
0.47900000000000004,5.265
0.48000000000000004,5.265
0.48100000000000004,5.265
0.48200000000000004,5.054
0.48300000000000004,5.054
0.48400000000000004,4.846
0.48500000000000004,4.846
0.48600000000000004,4.846
0.48700000000000004,4.955
0.488,4.955
0.489,5.066
0.49,5.066
0.491,5.066
0.492,5.136
0.493,5.136
0.494,5.204
0.495,5.204
0.496,5.204
0.497,5.082
0.498,5.082
0.499,4.96
0.5,4.96
0.501,4.96
0.502,4.988
0.503,4.988
0.504,5.016
0.505,5.016
0.506,5.016
0.507,5.044
0.508,5.044
0.509,5.072
0.51,5.072
0.511,5.072
0.512,4.941
0.513,4.941
0.514,4.808
0.515,4.808
0.516,
0.517,4.773
0.518,4.773
0.519,4.733
0.52,4.733
0.521,4.733
0.522,4.794
0.523,4.794
0.524,4.852
0.525,4.852
0.526,4.852
0.527,4.895
0.528,4.895
0.529,4.93
0.53,4.93
0.531,4.93
0.532,4.893
0.533,4.893
0.534,4.876
0.535,4.876
0.536,4.876
0.537,4.816
0.538,4.816
0.539,4.756
0.54,4.756
0.541,4.756
0.542,4.787
0.543,4.787
0.544,4.812
0.545,4.812
0.546,4.812
0.547,4.79
0.548,4.79
0.549,4.767
0.55,4.767
0.551,
0.552,4.744
0.553,4.744
0.554,4.722
0.555,4.722
0.556,4.722
0.557,4.634
0.558,4.634
0.559,4.547
0.56,4.547
0.561,4.547
0.562,4.544
0.5630000000000001,4.544
0.5640000000000001,4.543
0.5650000000000001,4.543
0.5660000000000001,4.543
0.5670000000000001,4.503
0.5680000000000001,4.503
0.5690000000000001,4.031
0.5700000000000001,4.031
0.5710000000000001,4.031
0.5720000000000001,4.425
0.5730000000000001,4.425
0.5740000000000001,4.311
0.5750000000000001,4.311
0.5760000000000001,4.311
0.577,4.408
0.5780000000000001,4.408
0.579,4.496
0.5800000000000001,4.496
0.581,4.496
0.5820000000000001,4.546
0.583,4.546
