lambda,radiance
0.4,137.774
0.401,
0.402,140.729
0.403,140.729
0.404,143.696
0.405,143.696
0.406,143.696
0.40700000000000003,147.742
0.40800000000000003,147.742
0.40900000000000003,151.821
0.41000000000000003,151.821
0.41100000000000003,151.821
0.41200000000000003,156.776
0.41300000000000003,156.776
0.41400000000000003,161.732
0.41500000000000004,161.732
0.41600000000000004,161.732
0.41700000000000004,160.153
0.41800000000000004,160.153
0.41900000000000004,158.502
0.42000000000000004,158.502
0.42100000000000004,158.502
0.42200000000000004,158.791
0.42300000000000004,158.791
0.42400000000000004,159.044
0.42500000000000004,159.044
0.42600000000000005,159.044
0.42700000000000005,151.269
0.42800000000000005,151.269
0.42900000000000005,143.32
0.43000000000000005,143.32
0.43100000000000005,143.32
0.43200000000000005,156.843
0.43300000000000005,156.843
0.43400000000000005,170.539
0.43500000000000005,170.539
0.43600000000000005,170.539
0.437,173.283
0.438,173.283
0.439,176.034
0.44,176.034
0.441,176.034
0.442,184.178
0.443,184.178
0.444,192.306
0.445,192.306
0.446,192.306
0.447,199.937
0.448,199.937
0.449,207.653
0.45,207.653
0.451,207.653
0.452,207.064
0.453,207.064
0.454,206.401
0.455,206.401
0.456,206.401
0.457,208.419
0.458,208.419
0.459,210.43
0.46,210.43
0.461,210.43
0.462,209.999
0.463,209.999
0.464,209.874
0.465,209.874
0.466,209.874
0.467,209.836
0.468,209.836
0.46900000000000003,209.46
0.47000000000000003,209.46
0.47100000000000003,
0.47200000000000003,212.112
0.47300000000000003,212.112
0.47400000000000003,214.628
0.47500000000000003,214.628
0.47600000000000003,214.628
0.47700000000000004,217.34
0.47800000000000004,217.34
0.47900000000000004,220.015
0.48000000000000004,220.015
0.48100000000000004,220.015
0.48200000000000004,211.261
0.48300000000000004,211.261
0.48400000000000004,202.481
0.48500000000000004,202.481
0.48600000000000004,202.481
0.48700000000000004,206.416
0.488,206.416
0.489,210.324
0.49,210.324
0.491,210.324
0.492,213.221
0.493,213.221
0.494,216.097
0.495,216.097
0.496,216.097
0.497,212.072
0.498,212.072
0.499,208.025
0.5,208.025
0.501,208.025
0.502,210.315
0.503,210.315
0.504,212.602
0.505,212.602
0.506,212.602
0.507,213.417
0.508,213.417
0.509,214.236
0.51,214.236
0.511,214.236
0.512,208.577
0.513,208.577
0.514,202.866
0.515,202.866
0.516,
0.517,201.955
0.518,201.955
0.519,200.97
0.52,200.97
0.521,200.97
0.522,204.354
0.523,204.354
0.524,207.72
0.525,207.72
0.526,207.72
0.527,210.565
0.528,210.565
0.529,213.328
0.53,213.328
0.531,213.328
0.532,212.712
0.533,212.712
0.534,212.358
0.535,212.358
0.536,212.358
0.537,210.118
0.538,210.118
0.539,207.86
0.54,207.86
0.541,207.86
0.542,209.589
0.543,209.589
0.544,211.235
0.545,211.235
0.546,211.235
0.547,210.983
0.548,210.983
0.549,210.692
0.55,210.692
0.551,
0.552,210.774
0.553,210.774
0.554,210.852
0.555,210.852
0.556,210.852
0.557,208.098
0.558,208.098
0.559,205.332
0.56,205.332
0.561,205.332
0.562,206.335
0.5630000000000001,206.335
0.5640000000000001,207.359
0.5650000000000001,207.359
0.5660000000000001,207.359
0.5670000000000001,206.589
0.5680000000000001,206.589
0.5690000000000001,198.915
0.5700000000000001,198.915
0.5710000000000001,198.915
0.5720000000000001,206.49
0.5730000000000001,206.49
0.5740000000000001,206.121
0.5750000000000001,206.121
0.5760000000000001,206.121
0.577,206.908
0.5780000000000001,206.908
0.579,207.37
0.5800000000000001,207.37
0.581,207.37
0.5820000000000001,208.456
0.583,208.456
0.5840000000000001,209.246
0.585,209.246
0.5860000000000001,209.246
0.587,201.045
0.5880000000000001,201.045
0.589,
0.5900000000000001,169.374
0.591,169.374
0.5920000000000001,181.267
0.593,181.267
0.5940000000000001,188.281
0.595,188.281
